ID,Label,Age,fnlwgt,Education-num,Capital-gain,Capital-loss,Hours-per-week
CLI0001,<=50K,31,142470,13,0,0,40
CLI0002,<=50K,31,323069,9,0,0,20
CLI0003,<=50K,25,122489,13,0,1726,60
CLI0004,<=50K,70,346053,9,0,0,40
CLI0005,>50K,39,176296,9,0,1887,40
CLI0006,<=50K,20,168863,10,0,0,20
CLI0007,<=50K,25,385646,9,0,0,40
CLI0008,<=50K,22,171176,9,0,0,48
CLI0009,<=50K,24,86745,13,0,0,40
CLI0010,<=50K,61,85194,10,0,0,25
CLI0011,>50K,44,136986,14,15024,0,35
CLI0012,<=50K,51,195638,10,0,0,40
CLI0013,>50K,43,270721,13,0,0,55
CLI0014,<=50K,58,113398,9,0,0,25
CLI0015,<=50K,17,169155,8,0,0,35
CLI0016,<=50K,57,130714,2,0,0,22
CLI0017,<=50K,21,296158,9,0,0,35
CLI0018,>50K,41,237321,2,0,0,40
CLI0019,<=50K,46,118419,9,0,0,38
CLI0020,<=50K,55,190514,4,0,0,75
CLI0021,<=50K,19,63434,10,0,0,35
CLI0022,>50K,50,92079,10,0,0,45
CLI0023,<=50K,40,274158,9,0,0,40
CLI0024,>50K,38,31033,13,7298,0,40
CLI0025,<=50K,46,130779,10,0,0,40
CLI0026,>50K,42,39060,9,0,0,60
CLI0027,<=50K,37,359131,9,0,0,48
CLI0028,<=50K,21,304302,9,0,0,40
CLI0029,<=50K,55,101338,6,0,0,40
CLI0030,<=50K,27,189777,9,0,0,40
CLI0031,<=50K,28,107411,13,0,0,35
CLI0032,<=50K,36,143068,10,0,0,40
CLI0033,<=50K,36,169037,9,0,0,40
CLI0034,>50K,34,204375,15,0,0,60
CLI0035,<=50K,30,103596,9,0,0,99
CLI0036,>50K,37,98389,9,0,0,50
CLI0037,>50K,45,102771,13,0,0,40
CLI0038,<=50K,22,43535,10,0,0,40
CLI0039,<=50K,40,120277,10,0,0,40
CLI0040,<=50K,25,292058,9,0,0,30
CLI0041,>50K,43,161240,9,0,0,45
CLI0042,<=50K,18,192583,10,0,0,30
CLI0043,<=50K,22,236907,10,0,0,20
CLI0044,>50K,44,344060,15,0,0,40
CLI0045,<=50K,33,33727,14,0,0,40
CLI0046,<=50K,19,263932,9,0,0,20
CLI0047,<=50K,41,173682,14,0,0,40
CLI0048,>50K,58,349910,9,7688,0,40
CLI0049,<=50K,18,71792,9,0,0,40
CLI0050,<=50K,22,227626,9,0,0,40
CLI0051,<=50K,55,89182,8,0,0,40
CLI0052,<=50K,42,55764,12,0,0,40
CLI0053,<=50K,26,147982,7,0,0,40
CLI0054,<=50K,26,236242,15,0,0,30
CLI0055,<=50K,18,347336,8,0,0,12
CLI0056,<=50K,19,242001,10,0,0,40
CLI0057,<=50K,41,190885,9,0,0,40
CLI0058,<=50K,49,99179,13,0,0,40
CLI0059,>50K,48,36503,10,0,0,40
CLI0060,<=50K,43,96129,7,0,0,60
CLI0061,<=50K,49,151107,9,0,0,40
CLI0062,<=50K,29,142519,9,0,0,40
CLI0063,<=50K,41,107327,11,0,0,40
CLI0064,<=50K,20,333505,9,0,0,30
CLI0065,<=50K,34,113543,14,0,0,40
CLI0066,<=50K,24,122234,10,0,0,20
CLI0067,<=50K,27,203776,9,0,0,50
CLI0068,<=50K,38,241765,7,0,0,60
CLI0069,>50K,53,123429,10,0,0,60
CLI0070,<=50K,30,164190,9,0,0,38
CLI0071,>50K,48,125892,13,0,0,40
CLI0072,<=50K,22,410439,9,0,0,55
CLI0073,>50K,42,203393,13,0,0,35
CLI0074,>50K,33,118941,13,0,0,32
CLI0075,<=50K,40,143327,10,0,0,40
CLI0076,<=50K,19,164585,9,0,0,40
CLI0077,<=50K,48,330470,10,0,0,30
CLI0078,<=50K,52,173987,6,0,0,40
CLI0079,<=50K,43,255635,3,0,0,40
CLI0080,<=50K,58,183870,6,0,0,40
CLI0081,<=50K,35,199288,7,0,0,90
CLI0082,<=50K,20,133515,10,0,0,15
CLI0083,>50K,46,230979,13,4787,0,25
CLI0084,<=50K,20,189203,12,0,0,20
CLI0085,<=50K,43,193494,6,0,0,40
CLI0086,<=50K,23,96748,10,0,0,10
CLI0087,<=50K,20,266467,9,0,0,25
CLI0088,<=50K,57,70720,9,0,0,78
CLI0089,<=50K,30,89735,9,0,1504,40
CLI0090,<=50K,25,222539,6,2597,0,50
CLI0091,<=50K,19,225775,10,0,0,45
CLI0092,>50K,57,403625,10,0,0,60
CLI0093,>50K,53,174102,4,4386,0,50
CLI0094,<=50K,19,63918,10,0,0,40
CLI0095,<=50K,28,70100,13,0,0,20
CLI0096,<=50K,24,449432,8,0,0,40
CLI0097,<=50K,27,113054,9,0,0,43
CLI0098,<=50K,25,410240,9,0,0,40
CLI0099,<=50K,21,451996,9,0,0,40
CLI0100,<=50K,19,307496,10,0,0,23
CLI0101,<=50K,34,226883,9,0,0,40
CLI0102,<=50K,33,167309,13,0,0,40
CLI0103,<=50K,27,47907,13,0,0,40
CLI0104,>50K,50,22211,14,7688,0,50
CLI0105,<=50K,30,267161,10,0,0,45
CLI0106,>50K,40,346532,10,0,0,40
CLI0107,<=50K,18,272918,9,0,0,15
CLI0108,<=50K,55,123515,9,0,0,40
CLI0109,<=50K,39,235379,12,0,0,40
CLI0110,<=50K,27,216013,9,0,0,40
CLI0111,<=50K,25,191271,9,0,0,40
CLI0112,<=50K,20,238685,7,0,0,40
CLI0113,>50K,30,151773,10,0,0,40
CLI0114,<=50K,29,157941,13,0,0,40
CLI0115,>50K,48,181307,9,0,0,60
CLI0116,<=50K,53,101432,9,0,0,50
CLI0117,<=50K,37,176293,10,0,0,30
CLI0118,<=50K,35,129597,10,0,0,46
CLI0119,<=50K,19,217039,10,0,0,28
CLI0120,>50K,48,355890,13,0,0,55
CLI0121,<=50K,42,206066,14,0,0,65
CLI0122,<=50K,53,150980,10,3137,0,40
CLI0123,<=50K,34,303867,5,0,0,40
CLI0124,<=50K,22,214731,6,0,0,40
CLI0125,<=50K,27,204497,6,0,0,75
CLI0126,>50K,23,258298,13,0,2231,40
CLI0127,>50K,62,200577,14,0,0,45
CLI0128,<=50K,33,267859,9,0,0,40
CLI0129,<=50K,51,196504,9,0,0,38
CLI0130,<=50K,32,209103,10,3464,0,40
CLI0131,<=50K,32,242150,9,0,0,38
CLI0132,<=50K,21,152540,9,0,0,35
CLI0133,<=50K,34,250724,13,0,0,45
CLI0134,<=50K,64,211360,9,0,0,30
CLI0135,<=50K,38,166585,9,0,0,40
CLI0136,<=50K,45,132563,15,0,1726,40
CLI0137,>50K,43,295510,9,0,0,45
CLI0138,<=50K,70,176493,10,0,0,17
CLI0139,<=50K,53,208321,9,0,1740,40
CLI0140,>50K,49,175958,10,0,0,80
CLI0141,<=50K,36,331902,10,0,0,35
CLI0142,<=50K,21,202373,11,0,0,40
CLI0143,<=50K,43,272165,5,0,0,40
CLI0144,>50K,29,267989,13,0,0,50
CLI0145,<=50K,30,113364,13,0,0,18
CLI0146,<=50K,17,179319,6,0,0,30
CLI0147,<=50K,27,188171,6,0,0,60
CLI0148,<=50K,43,87284,10,0,0,40
CLI0149,<=50K,19,286435,10,594,0,40
CLI0150,<=50K,20,401690,9,0,0,30
CLI0151,<=50K,41,48087,4,0,1590,40
CLI0152,>50K,36,353263,13,0,0,45
CLI0153,<=50K,29,179498,9,0,0,40
CLI0154,<=50K,21,85088,10,0,0,37
CLI0155,>50K,44,207578,13,0,0,35
CLI0156,<=50K,25,251854,10,0,0,40
CLI0157,<=50K,33,258498,10,0,0,60
CLI0158,<=50K,42,79036,9,0,0,40
CLI0159,<=50K,37,241805,10,0,0,30
CLI0160,<=50K,40,520586,10,0,0,39
CLI0161,<=50K,27,85625,10,0,0,20
CLI0162,>50K,56,367984,11,15024,0,40
CLI0163,<=50K,21,24008,10,0,0,35
CLI0164,<=50K,54,77336,9,0,0,40
CLI0165,<=50K,55,130957,9,0,0,45
CLI0166,<=50K,65,107620,7,0,0,8
CLI0167,<=50K,49,62793,9,0,0,40
CLI0168,>50K,32,317378,13,10520,0,40
CLI0169,<=50K,32,420895,13,0,0,47
CLI0170,<=50K,34,242984,9,0,0,48
CLI0171,<=50K,45,187730,13,0,0,40
CLI0172,<=50K,33,213226,9,0,0,50
CLI0173,>50K,30,76107,9,0,0,45
CLI0174,<=50K,51,179010,10,0,0,60
CLI0175,<=50K,28,173800,13,0,0,10
CLI0176,<=50K,66,213477,4,0,0,10
CLI0177,<=50K,17,244523,6,0,0,20
CLI0178,<=50K,34,204052,9,0,0,40
CLI0179,>50K,47,192894,9,0,0,50
CLI0180,>50K,50,199995,13,0,0,40
CLI0181,<=50K,36,175643,9,0,0,35
CLI0182,>50K,60,163665,10,0,0,16
CLI0183,<=50K,22,203182,13,0,0,30
CLI0184,<=50K,40,105936,9,5013,0,20
CLI0185,<=50K,25,104746,10,0,0,16
CLI0186,<=50K,40,99373,6,0,0,40
CLI0187,>50K,42,139012,16,0,0,40
CLI0188,>50K,52,229983,15,3103,0,30
CLI0189,>50K,38,237608,13,0,2444,45
CLI0190,>50K,46,180010,13,0,0,40
CLI0191,>50K,29,240738,9,0,0,40
CLI0192,<=50K,38,146178,9,0,0,40
CLI0193,<=50K,32,191777,14,0,0,40
CLI0194,<=50K,23,141323,10,0,0,40
CLI0195,<=50K,35,185848,9,4650,0,50
CLI0196,<=50K,20,210781,10,0,0,35
CLI0197,>50K,59,67841,9,0,0,40
CLI0198,<=50K,30,212237,13,0,1740,45
CLI0199,>50K,29,185908,13,0,0,55
CLI0200,<=50K,18,256967,6,0,0,40
CLI0201,<=50K,31,124827,9,0,0,40
CLI0202,<=50K,46,125487,11,0,0,40
CLI0203,<=50K,33,120201,9,0,0,65
CLI0204,<=50K,33,87310,5,0,0,50
CLI0205,<=50K,19,235909,10,0,0,20
CLI0206,<=50K,19,219300,10,0,0,25
CLI0207,>50K,44,174373,12,0,0,40
CLI0208,<=50K,66,192504,14,0,0,40
CLI0209,<=50K,33,202822,4,0,0,14
CLI0210,<=50K,20,131230,9,0,1590,40
CLI0211,<=50K,51,123325,15,0,0,40
CLI0212,<=50K,37,257588,9,0,0,40
CLI0213,>50K,60,138502,13,7298,0,48
CLI0214,<=50K,28,226198,9,0,0,40
CLI0215,<=50K,44,79864,14,0,0,20
CLI0216,<=50K,21,512828,9,0,0,40
CLI0217,>50K,47,137917,10,0,0,40
CLI0218,>50K,34,195136,13,0,1887,40
CLI0219,<=50K,22,138768,10,0,0,50
CLI0220,<=50K,66,185369,6,0,0,30
CLI0221,<=50K,28,66777,11,3137,0,40
CLI0222,<=50K,42,68729,10,0,0,40
CLI0223,<=50K,63,146196,13,0,0,40
CLI0224,<=50K,19,199609,10,0,0,40
CLI0225,>50K,38,296478,11,7298,0,40
CLI0226,<=50K,34,96480,10,0,0,40
CLI0227,<=50K,30,130078,13,0,0,45
CLI0228,<=50K,52,163678,9,0,0,55
CLI0229,<=50K,24,234640,9,0,0,36
CLI0230,<=50K,58,49884,9,0,0,50
CLI0231,<=50K,55,189933,4,0,0,50
CLI0232,<=50K,38,296317,9,0,0,40
CLI0233,<=50K,41,220460,12,0,0,20
CLI0234,<=50K,46,62546,16,0,0,35
CLI0235,>50K,29,116207,9,0,0,65
CLI0236,<=50K,38,119992,10,0,0,40
CLI0237,>50K,27,153546,11,0,0,36
CLI0238,<=50K,34,220362,13,0,0,40
CLI0239,<=50K,17,36877,6,0,0,10
CLI0240,>50K,43,401623,10,0,0,40
CLI0241,<=50K,24,304602,9,0,0,40
CLI0242,<=50K,25,111243,9,0,0,50
CLI0243,<=50K,43,113211,9,0,0,40
CLI0244,<=50K,18,120243,7,0,0,10
CLI0245,>50K,39,122011,14,5178,0,38
CLI0246,<=50K,33,100228,10,0,0,40
CLI0247,<=50K,23,347292,9,0,0,40
CLI0248,<=50K,58,140729,13,0,0,35
CLI0249,<=50K,30,36069,12,0,0,40
CLI0250,<=50K,28,472580,10,0,0,40
CLI0251,<=50K,35,61343,9,0,0,90
CLI0252,<=50K,32,81528,9,0,0,60
CLI0253,>50K,38,31848,11,0,0,40
CLI0254,<=50K,29,202182,10,0,0,50
CLI0255,<=50K,18,297396,9,0,0,10
CLI0256,<=50K,20,366929,10,0,0,35
CLI0257,<=50K,33,223212,9,0,0,40
CLI0258,>50K,36,85272,12,0,0,30
CLI0259,<=50K,30,155343,9,5013,0,40
CLI0260,>50K,46,131091,13,0,1902,40
CLI0261,<=50K,38,358682,10,0,0,40
CLI0262,<=50K,63,257876,15,0,0,40
CLI0263,<=50K,18,25837,7,0,0,15
CLI0264,<=50K,31,196125,7,0,0,40
CLI0265,<=50K,21,86625,10,0,0,40
CLI0266,<=50K,42,208726,10,0,0,45
CLI0267,<=50K,18,74539,6,0,0,20
CLI0268,<=50K,58,356067,13,0,0,40
CLI0269,<=50K,45,278151,9,0,0,40
CLI0270,<=50K,51,141388,9,0,0,55
CLI0271,<=50K,33,165235,13,0,0,35
CLI0272,<=50K,34,80249,10,0,0,72
CLI0273,<=50K,40,167919,9,0,0,40
CLI0274,<=50K,46,353012,9,0,0,40
CLI0275,<=50K,27,278617,10,0,0,40
CLI0276,<=50K,35,290226,9,0,0,45
CLI0277,<=50K,65,274916,9,0,0,40
CLI0278,>50K,27,190525,9,0,0,50
CLI0279,<=50K,30,382368,9,0,0,40
CLI0280,>50K,28,119287,13,15024,0,28
CLI0281,<=50K,51,357949,13,0,0,16
CLI0282,<=50K,37,378916,9,0,0,40
CLI0283,<=50K,34,33442,11,0,0,40
CLI0284,<=50K,39,277886,13,0,0,30
CLI0285,<=50K,42,42703,9,0,0,40
CLI0286,<=50K,49,213431,9,0,0,40
CLI0287,>50K,44,145160,16,0,0,40
CLI0288,<=50K,21,293968,10,0,0,20
CLI0289,<=50K,34,268127,8,0,0,40
CLI0290,<=50K,62,73292,10,0,0,40
CLI0291,<=50K,22,313873,7,0,0,30
CLI0292,<=50K,33,50276,13,0,0,40
CLI0293,<=50K,60,243829,14,0,0,50
CLI0294,<=50K,56,110257,9,0,0,40
CLI0295,>50K,41,144002,13,0,0,60
CLI0296,>50K,49,186172,9,7688,0,45
CLI0297,<=50K,50,73493,10,0,0,40
CLI0298,<=50K,41,107306,9,2174,0,40
CLI0299,<=50K,39,245361,13,0,0,25
CLI0300,<=50K,43,330174,9,0,0,40
CLI0301,<=50K,40,204046,6,0,0,40
CLI0302,<=50K,23,315065,10,0,0,35
CLI0303,<=50K,54,183248,9,0,0,40
CLI0304,>50K,44,116632,14,0,0,50
CLI0305,>50K,34,163110,13,0,0,45
CLI0306,<=50K,66,142723,3,0,0,40
CLI0307,<=50K,67,159542,3,0,0,40
CLI0308,<=50K,17,152696,8,0,0,30
CLI0309,<=50K,21,38772,10,0,0,20
CLI0310,>50K,37,168475,9,0,0,40
CLI0311,<=50K,45,34446,9,0,0,50
CLI0312,<=50K,33,160784,6,0,0,40
CLI0313,<=50K,39,239409,9,0,0,50
CLI0314,<=50K,21,123983,10,0,0,10
CLI0315,<=50K,35,124836,10,0,0,36
CLI0316,<=50K,62,115023,10,0,0,40
CLI0317,>50K,39,103456,13,0,0,45
CLI0318,>50K,44,138991,10,0,0,50
CLI0319,<=50K,31,41493,13,0,0,45
CLI0320,<=50K,37,87369,5,0,0,40
CLI0321,<=50K,52,312500,11,0,0,40
CLI0322,<=50K,38,107513,9,0,0,40
CLI0323,<=50K,50,287598,10,0,0,70
CLI0324,<=50K,18,338836,9,0,0,20
CLI0325,>50K,52,210736,10,3103,0,55
CLI0326,>50K,42,153414,13,0,0,40
CLI0327,>50K,48,383384,9,0,0,40
CLI0328,<=50K,38,335104,13,0,0,35
CLI0329,>50K,53,114758,14,15024,0,65
CLI0330,>50K,46,189498,13,0,1848,45
CLI0331,<=50K,20,228649,9,0,0,40
CLI0332,<=50K,29,229300,13,0,0,48
CLI0333,<=50K,28,172891,9,0,0,50
CLI0334,<=50K,25,186370,9,0,0,40
CLI0335,<=50K,31,382368,7,0,0,40
CLI0336,<=50K,50,242517,13,0,0,40
CLI0337,<=50K,48,185041,4,0,1672,55
CLI0338,>50K,31,181091,9,0,0,50
CLI0339,<=50K,66,234743,10,0,0,24
CLI0340,<=50K,19,228238,9,0,0,40
CLI0341,>50K,35,209214,9,4386,0,35
CLI0342,<=50K,20,163665,9,0,0,20
CLI0343,<=50K,23,128604,9,0,0,48
CLI0344,<=50K,36,173804,7,0,0,40
CLI0345,>50K,34,737315,13,0,0,40
CLI0346,>50K,57,112840,14,0,0,55
CLI0347,>50K,45,207540,16,0,0,40
CLI0348,>50K,36,225516,12,10520,0,43
CLI0349,>50K,53,104879,9,0,0,40
CLI0350,<=50K,58,54947,10,0,0,55
CLI0351,<=50K,17,194612,7,0,0,25
CLI0352,>50K,38,66686,11,0,0,40
CLI0353,<=50K,54,102828,9,0,0,49
CLI0354,>50K,51,111939,13,0,0,50
CLI0355,<=50K,32,188557,9,0,0,40
CLI0356,>50K,41,27305,9,7688,0,40
CLI0357,<=50K,33,199046,13,0,0,40
CLI0358,<=50K,29,229656,9,0,0,50
CLI0359,>50K,39,128715,9,10520,0,40
CLI0360,>50K,54,108435,13,0,0,50
CLI0361,<=50K,39,194287,4,0,1602,35
CLI0362,<=50K,30,181091,13,0,0,40
CLI0363,>50K,52,138611,9,7688,0,55
CLI0364,<=50K,28,155621,10,0,0,50
CLI0365,>50K,40,226585,10,0,0,35
CLI0366,<=50K,22,137510,10,0,0,40
CLI0367,<=50K,21,25631,10,0,0,40
CLI0368,<=50K,62,209844,10,0,0,30
CLI0369,>50K,65,193216,9,9386,0,40
CLI0370,<=50K,33,202153,14,0,0,40
CLI0371,<=50K,33,202366,9,0,0,32
CLI0372,<=50K,21,88926,10,0,0,10
CLI0373,>50K,64,98586,16,0,0,60
CLI0374,>50K,36,187847,13,7688,0,40
CLI0375,>50K,42,201732,10,0,0,40
CLI0376,<=50K,49,200471,9,0,0,40
CLI0377,<=50K,36,124818,9,0,0,40
CLI0378,<=50K,49,123584,7,0,0,75
CLI0379,<=50K,45,164210,10,0,0,40
CLI0380,<=50K,35,80771,14,0,0,40
CLI0381,<=50K,38,264627,10,0,0,40
CLI0382,<=50K,40,153489,9,3137,0,40
CLI0383,<=50K,57,199572,7,0,0,40
CLI0384,<=50K,30,48458,10,0,0,40
CLI0385,<=50K,58,140363,9,3325,0,30
CLI0386,>50K,31,334346,13,0,0,40
CLI0387,<=50K,72,82635,7,0,0,40
CLI0388,>50K,74,173929,16,0,0,25
CLI0389,<=50K,43,64112,10,0,0,50
CLI0390,>50K,36,226947,13,0,0,40
CLI0391,<=50K,32,77634,7,0,0,45
CLI0392,<=50K,28,377869,10,4064,0,25
CLI0393,<=50K,29,109621,9,0,0,40
CLI0394,<=50K,34,133122,13,0,0,40
CLI0395,<=50K,44,171256,12,0,0,45
CLI0396,<=50K,46,113390,14,0,1740,60
CLI0397,<=50K,27,122038,9,0,0,48
CLI0398,>50K,55,314592,9,0,0,40
CLI0399,>50K,43,34007,9,0,0,40
CLI0400,<=50K,30,229772,6,0,0,40
CLI0401,>50K,52,163998,9,99999,0,45
CLI0402,<=50K,48,233802,14,0,0,45
CLI0403,<=50K,42,191765,9,0,0,35
CLI0404,<=50K,54,196975,9,0,0,45
CLI0405,<=50K,35,246829,9,0,0,40
CLI0406,<=50K,46,58126,9,0,0,40
CLI0407,<=50K,20,86143,10,0,0,30
CLI0408,>50K,41,318046,10,0,0,48
CLI0409,<=50K,41,187322,13,0,0,40
CLI0410,<=50K,17,250541,7,0,0,8
CLI0411,<=50K,30,177304,10,0,0,44
CLI0412,<=50K,22,27937,10,0,0,36
CLI0413,<=50K,41,187802,10,0,0,50
CLI0414,<=50K,22,356567,11,0,0,60
CLI0415,>50K,51,145714,14,99999,0,50
CLI0416,>50K,45,160647,13,4687,0,35
CLI0417,<=50K,26,207537,9,0,0,40
CLI0418,<=50K,40,224799,13,0,0,45
CLI0419,<=50K,33,154874,10,0,0,40
CLI0420,<=50K,20,289116,10,0,0,5
CLI0421,<=50K,38,175732,9,0,0,15
CLI0422,<=50K,31,118399,7,0,0,40
CLI0423,<=50K,34,111746,9,0,0,45
CLI0424,<=50K,31,263000,11,0,0,38
CLI0425,>50K,52,111700,10,0,0,20
CLI0426,<=50K,25,129200,10,0,0,40
CLI0427,<=50K,19,339123,10,0,0,40
CLI0428,<=50K,66,182378,4,0,0,30
CLI0429,<=50K,58,95835,10,0,0,36
CLI0430,<=50K,58,127264,6,0,0,50
CLI0431,<=50K,50,128478,9,0,0,70
CLI0432,>50K,36,183892,10,7298,0,44
CLI0433,>50K,39,191227,13,13550,0,50
CLI0434,<=50K,29,267989,9,0,0,45
CLI0435,>50K,75,309955,15,0,2174,50
CLI0436,>50K,62,98076,13,0,0,40
CLI0437,<=50K,45,102076,10,0,0,32
CLI0438,<=50K,63,206052,9,0,0,40
CLI0439,<=50K,21,75763,10,0,0,40
CLI0440,<=50K,49,83444,9,0,0,40
CLI0441,>50K,44,171484,6,0,0,40
CLI0442,<=50K,22,36011,11,0,0,30
CLI0443,>50K,35,150057,10,0,0,40
CLI0444,<=50K,19,57329,10,0,0,30
CLI0445,>50K,30,230224,13,0,0,55
CLI0446,>50K,49,189498,9,0,0,50
CLI0447,<=50K,51,241346,9,0,0,43
CLI0448,<=50K,44,144125,13,0,0,40
CLI0449,>50K,53,156843,14,0,1564,54
CLI0450,>50K,39,243409,9,0,0,60
CLI0451,<=50K,41,421837,9,0,0,40
CLI0452,<=50K,40,270324,11,0,0,30
CLI0453,<=50K,18,168740,7,0,0,30
CLI0454,<=50K,25,164488,10,0,0,40
CLI0455,<=50K,56,356067,14,0,0,16
CLI0456,<=50K,30,175931,9,0,0,40
CLI0457,<=50K,20,107801,12,0,2205,18
CLI0458,<=50K,33,147700,9,0,0,40
CLI0459,<=50K,46,266337,11,0,0,40
CLI0460,<=50K,45,106910,9,0,0,40
CLI0461,<=50K,18,376647,9,2176,0,25
CLI0462,>50K,49,142287,10,0,1902,50
CLI0463,<=50K,22,264738,9,0,0,42
CLI0464,<=50K,17,204018,7,0,0,15
CLI0465,<=50K,26,250066,11,0,0,40
CLI0466,>50K,29,144592,15,0,0,50
CLI0467,<=50K,18,375515,7,0,0,20
CLI0468,>50K,52,279129,10,0,0,37
CLI0469,>50K,32,156464,9,0,1902,50
CLI0470,<=50K,21,29810,9,0,0,50
CLI0471,>50K,41,47902,13,0,0,45
CLI0472,>50K,50,196232,9,7688,0,50
CLI0473,>50K,45,213646,13,7298,0,40
CLI0474,>50K,50,205803,14,15024,0,40
CLI0475,<=50K,45,328051,14,0,0,60
CLI0476,<=50K,20,107242,9,0,0,40
CLI0477,<=50K,29,162312,10,0,0,45
CLI0478,<=50K,28,219267,9,0,0,28
CLI0479,>50K,27,153805,10,0,0,50
CLI0480,<=50K,44,174051,10,0,0,35
CLI0481,<=50K,31,59969,9,0,0,35
CLI0482,<=50K,45,340341,10,0,0,40
CLI0483,<=50K,29,154017,9,0,0,10
CLI0484,>50K,53,195813,3,5178,0,40
CLI0485,<=50K,67,197865,10,0,0,40
CLI0486,<=50K,47,166634,10,0,0,40
CLI0487,<=50K,34,90415,11,0,0,40
CLI0488,<=50K,46,124733,10,0,0,40
CLI0489,<=50K,36,75826,13,0,0,40
CLI0490,<=50K,29,138537,11,0,0,40
CLI0491,>50K,40,145160,16,0,0,40
CLI0492,<=50K,58,151910,9,0,0,40
CLI0493,>50K,36,125933,15,0,0,55
CLI0494,>50K,26,202033,13,0,0,40
CLI0495,>50K,39,255503,13,0,0,40
CLI0496,<=50K,23,169188,10,0,0,25
CLI0497,<=50K,35,193106,9,0,0,32
CLI0498,<=50K,69,286983,10,0,0,40
